RSSI,Type,Error code,Length,Steering angle,Battery voltage,Battery temperature,Throttle input,Brake pressure,Wheel speed,Latitude,Longitude,Time
CRC error!,Error: Packet does not contain type,Error: Packet does not contain error status,Error: Packet does not contain length,Error: Packet does not contain steering angle,Error: Packet does not contain battery voltage,Error: Packet does not contain battery temperature,Error: Packet does not contain throttle input,Error: Packet does not contain brake pressure,Error: Packet does not contain wheel speed,Error: Packet does not contain latitude,Error: Packet does not contain longitude,2024-05-04 15:08:05.447033
CRC error!,Error: Packet does not contain type,Error: Packet does not contain error status,Error: Packet does not contain length,Error: Packet does not contain steering angle,Error: Packet does not contain battery voltage,Error: Packet does not contain battery temperature,Error: Packet does not contain throttle input,Error: Packet does not contain brake pressure,Error: Packet does not contain wheel speed,Error: Packet does not contain latitude,Error: Packet does not contain longitude,2024-05-04 15:08:06.446140
CRC error!,Error: Packet does not contain type,Error: Packet does not contain error status,Error: Packet does not contain length,Error: Packet does not contain steering angle,Error: Packet does not contain battery voltage,Error: Packet does not contain battery temperature,Error: Packet does not contain throttle input,Error: Packet does not contain brake pressure,Error: Packet does not contain wheel speed,Error: Packet does not contain latitude,Error: Packet does not contain longitude,2024-05-04 15:08:08.456231
-121.00,0,0,28,7,0.00,109.58,154,0.01,15.42,38.03639984,-78.51511383,2024-05-04 15:08:08.743497
-125.00,0,0,28,217,0.00,109.58,150,0.01,15.05,38.03632355,-78.51515198,2024-05-04 15:08:09.453985
-121.00,0,0,28,217,0.00,107.78,150,0.01,15.05,38.03632355,-78.51515198,2024-05-04 15:08:09.746122
-122.00,0,0,28,189,0.00,107.78,163,0.01,16.36,38.03625870,-78.51514435,2024-05-04 15:08:10.742730
-126.00,0,0,28,169,0.00,107.78,157,0.01,15.79,38.03622055,-78.51509094,2024-05-04 15:08:11.451717
CRC error!,Error: Packet does not contain type,Error: Packet does not contain error status,Error: Packet does not contain length,Error: Packet does not contain steering angle,Error: Packet does not contain battery voltage,Error: Packet does not contain battery temperature,Error: Packet does not contain throttle input,Error: Packet does not contain brake pressure,Error: Packet does not contain wheel speed,Error: Packet does not contain latitude,Error: Packet does not contain longitude,2024-05-04 15:08:13.748270
CRC error!,Error: Packet does not contain type,Error: Packet does not contain error status,Error: Packet does not contain length,Error: Packet does not contain steering angle,Error: Packet does not contain battery voltage,Error: Packet does not contain battery temperature,Error: Packet does not contain throttle input,Error: Packet does not contain brake pressure,Error: Packet does not contain wheel speed,Error: Packet does not contain latitude,Error: Packet does not contain longitude,2024-05-04 15:08:14.745013
CRC error!,Error: Packet does not contain type,Error: Packet does not contain error status,Error: Packet does not contain length,Error: Packet does not contain steering angle,Error: Packet does not contain battery voltage,Error: Packet does not contain battery temperature,Error: Packet does not contain throttle input,Error: Packet does not contain brake pressure,Error: Packet does not contain wheel speed,Error: Packet does not contain latitude,Error: Packet does not contain longitude,2024-05-04 15:08:15.450891
CRC error!,Error: Packet does not contain type,Error: Packet does not contain error status,Error: Packet does not contain length,Error: Packet does not contain steering angle,Error: Packet does not contain battery voltage,Error: Packet does not contain battery temperature,Error: Packet does not contain throttle input,Error: Packet does not contain brake pressure,Error: Packet does not contain wheel speed,Error: Packet does not contain latitude,Error: Packet does not contain longitude,2024-05-04 15:08:16.455985
CRC error!,Error: Packet does not contain type,Error: Packet does not contain error status,Error: Packet does not contain length,Error: Packet does not contain steering angle,Error: Packet does not contain battery voltage,Error: Packet does not contain battery temperature,Error: Packet does not contain throttle input,Error: Packet does not contain brake pressure,Error: Packet does not contain wheel speed,Error: Packet does not contain latitude,Error: Packet does not contain longitude,2024-05-04 15:08:17.458846
-126.00,0,0,28,78,0.00,107.78,123,0.01,12.30,38.03629303,-78.51466370,2024-05-04 15:08:17.746030
CRC error!,Error: Packet does not contain type,Error: Packet does not contain error status,Error: Packet does not contain length,Error: Packet does not contain steering angle,Error: Packet does not contain battery voltage,Error: Packet does not contain battery temperature,Error: Packet does not contain throttle input,Error: Packet does not contain brake pressure,Error: Packet does not contain wheel speed,Error: Packet does not contain latitude,Error: Packet does not contain longitude,2024-05-04 15:08:18.456631
CRC error!,Error: Packet does not contain type,Error: Packet does not contain error status,Error: Packet does not contain length,Error: Packet does not contain steering angle,Error: Packet does not contain battery voltage,Error: Packet does not contain battery temperature,Error: Packet does not contain throttle input,Error: Packet does not contain brake pressure,Error: Packet does not contain wheel speed,Error: Packet does not contain latitude,Error: Packet does not contain longitude,2024-05-04 15:08:19.456366
