RSSI,Type,Error code,Length,Steering angle,Battery voltage,Battery temperature,Throttle input,Brake pressure,Wheel speed,Latitude,Longitude,Time
-59.00,0,0,28,185,0.00,109.58,4,0.21,0.48,38.03630829,-78.51519775,2024-05-04 14:05:42.323762
-60.00,0,0,28,185,0.00,109.58,4,0.21,0.48,38.03630829,-78.51519775,2024-05-04 14:05:42.487634
-59.00,0,0,28,185,0.00,109.58,4,0.21,0.48,38.03630829,-78.51519775,2024-05-04 14:05:42.752674
-59.00,0,0,28,185,0.00,109.58,4,0.21,0.48,38.03630829,-78.51519775,2024-05-04 14:05:42.918285
-57.00,0,0,28,181,0.00,109.58,32,0.03,3.22,38.03630066,-78.51519775,2024-05-04 14:05:43.326764
-58.00,0,0,28,181,0.00,109.58,32,0.03,3.22,38.03630066,-78.51519775,2024-05-04 14:05:43.490947
-59.00,0,0,28,181,0.00,109.58,32,0.03,3.22,38.03630066,-78.51519775,2024-05-04 14:05:43.729473
-61.00,0,0,28,181,0.00,109.58,32,0.03,3.22,38.03630066,-78.51519775,2024-05-04 14:05:43.896990
-57.00,0,0,28,178,0.00,109.58,59,0.02,6.00,38.03627777,-78.51519775,2024-05-04 14:05:44.328524
-61.00,0,0,28,178,0.00,109.58,59,0.02,6.00,38.03627777,-78.51519775,2024-05-04 14:05:44.490597
-73.00,0,0,28,178,0.00,109.58,59,0.02,6.00,38.03627777,-78.51519775,2024-05-04 14:05:44.732918
-61.00,0,0,28,178,0.00,109.58,59,0.02,6.00,38.03627777,-78.51519775,2024-05-04 14:05:44.898328
-66.00,0,0,28,153,0.00,109.58,87,0.01,8.76,38.03625107,-78.51518250,2024-05-04 14:05:45.319374
-70.00,0,0,28,153,0.00,109.58,87,0.01,8.76,38.03625107,-78.51518250,2024-05-04 14:05:45.487105
-84.00,0,0,28,153,0.00,109.58,87,0.01,8.76,38.03625107,-78.51518250,2024-05-04 14:05:45.723611
-75.00,0,0,28,153,0.00,109.58,87,0.01,8.76,38.03625107,-78.51518250,2024-05-04 14:05:45.889361
-68.00,0,0,28,106,0.00,109.58,127,0.01,12.77,38.03623962,-78.51512909,2024-05-04 14:05:46.327718
