RSSI,Type,Error code,Length,Steering angle,Battery voltage,Battery temperature,Throttle input,Brake pressure,Wheel speed,Latitude,Longitude,Time
-93.00,0,0,28,192,0.00,111.38,0,inf,0.00,38.03633499,-78.51519775,2024-05-04 14:09:55.308687
-94.00,0,0,28,192,0.00,111.38,0,inf,0.00,38.03633499,-78.51519775,2024-05-04 14:09:55.476711
-94.00,0,0,28,192,0.00,111.38,0,inf,0.00,38.03633499,-78.51519775,2024-05-04 14:09:55.727598
-93.00,0,0,28,192,0.00,111.38,0,inf,0.00,38.03633499,-78.51519775,2024-05-04 14:09:55.889837
-92.00,0,0,28,192,0.00,111.38,0,8.69,0.01,38.03633499,-78.51519775,2024-05-04 14:09:56.322934
-93.00,0,0,28,192,0.00,111.38,0,8.69,0.01,38.03633499,-78.51519775,2024-05-04 14:09:56.488159
-91.00,0,0,28,192,0.00,111.38,0,8.69,0.01,38.03633499,-78.51519775,2024-05-04 14:09:56.748388
-91.00,0,0,28,192,0.00,111.38,0,8.69,0.01,38.03633499,-78.51519775,2024-05-04 14:09:56.911806
-94.00,0,0,28,192,0.00,111.38,0,2.17,0.05,38.03633499,-78.51519775,2024-05-04 14:09:57.313534
-91.00,0,0,28,192,0.00,111.38,0,2.17,0.05,38.03633499,-78.51519775,2024-05-04 14:09:57.478319
-95.00,0,0,28,192,0.00,111.38,0,2.17,0.05,38.03633499,-78.51519775,2024-05-04 14:09:57.740834
-92.00,0,0,28,192,0.00,111.38,0,2.17,0.05,38.03633499,-78.51519775,2024-05-04 14:09:57.905566
-92.00,0,0,28,192,0.00,111.38,0,8.69,0.01,38.03633499,-78.51519775,2024-05-04 14:09:58.319214
-94.00,0,0,28,192,0.00,111.38,0,8.69,0.01,38.03633499,-78.51519775,2024-05-04 14:09:58.482848
-98.00,0,0,28,192,0.00,111.38,0,8.69,0.01,38.03633499,-78.51519775,2024-05-04 14:09:58.744600
-104.00,0,0,28,192,0.00,111.38,0,8.69,0.01,38.03633499,-78.51519775,2024-05-04 14:09:58.909393
