RSSI,Type,Error code,Length,Steering angle,Battery voltage,Battery temperature,Throttle input,Brake pressure,Wheel speed,Latitude,Longitude,Time
-100.00,0,0,28,187,0.00,116.78,0,2.17,0.05,38.03632355,-78.51520538,2024-05-04 14:16:00.310966
-98.00,0,0,28,187,0.00,116.78,0,2.17,0.05,38.03632355,-78.51520538,2024-05-04 14:16:00.476041
-98.00,0,0,28,187,0.00,116.78,0,2.17,0.05,38.03632355,-78.51520538,2024-05-04 14:16:00.725777
-101.00,0,0,28,187,0.00,116.78,0,2.17,0.05,38.03632355,-78.51520538,2024-05-04 14:16:00.890992
-97.00,0,0,28,187,0.00,116.78,0,1.24,0.08,38.03632355,-78.51520538,2024-05-04 14:16:01.311510
-93.00,0,0,28,187,0.00,116.78,0,1.24,0.08,38.03632355,-78.51520538,2024-05-04 14:16:01.475948
-91.00,0,0,28,187,0.00,116.78,0,1.24,0.08,38.03632355,-78.51520538,2024-05-04 14:16:01.727301
-92.00,0,0,28,187,0.00,116.78,0,1.24,0.08,38.03632355,-78.51520538,2024-05-04 14:16:01.892786
-92.00,0,0,28,187,0.00,116.78,0,4.34,0.02,38.03632355,-78.51520538,2024-05-04 14:16:02.311999
-92.00,0,0,28,187,0.00,116.78,0,4.34,0.02,38.03632355,-78.51520538,2024-05-04 14:16:02.476295
-93.00,0,0,28,187,0.00,116.78,0,4.34,0.02,38.03632355,-78.51520538,2024-05-04 14:16:02.728244
-95.00,0,0,28,187,0.00,116.78,0,4.34,0.02,38.03632355,-78.51520538,2024-05-04 14:16:02.893205
-95.00,0,0,28,187,0.00,116.78,0,8.69,0.01,38.03632355,-78.51520538,2024-05-04 14:16:03.309658
-94.00,0,0,28,187,0.00,116.78,0,8.69,0.01,38.03632355,-78.51520538,2024-05-04 14:16:03.474550
-93.00,0,0,28,187,0.00,116.78,0,8.69,0.01,38.03632355,-78.51520538,2024-05-04 14:16:03.725516
-95.00,0,0,28,187,0.00,116.78,0,8.69,0.01,38.03632355,-78.51520538,2024-05-04 14:16:03.891727
-100.00,0,0,28,187,0.00,116.78,0,inf,0.00,38.03632355,-78.51520538,2024-05-04 14:16:04.315565
-99.00,0,0,28,187,0.00,116.78,0,inf,0.00,38.03632355,-78.51520538,2024-05-04 14:16:04.479591
-98.00,0,0,28,187,0.00,116.78,0,inf,0.00,38.03632355,-78.51520538,2024-05-04 14:16:04.734478
-98.00,0,0,28,187,0.00,116.78,0,inf,0.00,38.03632355,-78.51520538,2024-05-04 14:16:04.898919
-101.00,0,0,28,187,0.00,116.78,0,4.34,0.02,38.03632355,-78.51520538,2024-05-04 14:16:05.314016
-100.00,0,0,28,187,0.00,116.78,0,4.34,0.02,38.03632355,-78.51520538,2024-05-04 14:16:05.479650
-103.00,0,0,28,187,0.00,116.78,0,4.34,0.02,38.03632355,-78.51520538,2024-05-04 14:16:05.734646
-103.00,0,0,28,187,0.00,116.78,0,4.34,0.02,38.03632355,-78.51520538,2024-05-04 14:16:05.899018
-104.00,0,0,28,187,0.00,116.78,0,4.34,0.02,38.03632355,-78.51520538,2024-05-04 14:16:06.318007
-100.00,0,0,28,187,0.00,116.78,0,4.34,0.02,38.03632355,-78.51520538,2024-05-04 14:16:06.483488
-99.00,0,0,28,187,0.00,116.78,0,4.34,0.02,38.03632355,-78.51520538,2024-05-04 14:16:06.737862
-98.00,0,0,28,187,0.00,116.78,0,4.34,0.02,38.03632355,-78.51520538,2024-05-04 14:16:06.900885
-94.00,0,0,28,187,0.00,116.78,0,2.90,0.03,38.03632355,-78.51520538,2024-05-04 14:16:07.482638
-96.00,0,0,28,187,0.00,116.78,0,2.90,0.03,38.03632355,-78.51520538,2024-05-04 14:16:07.736405
-103.00,0,0,28,187,0.00,116.78,0,2.90,0.03,38.03632355,-78.51520538,2024-05-04 14:16:07.904210
-95.00,0,0,28,187,0.00,116.78,0,inf,0.00,38.03632355,-78.51520538,2024-05-04 14:16:08.319777
-97.00,0,0,28,187,0.00,116.78,0,inf,0.00,38.03632355,-78.51520538,2024-05-04 14:16:08.486110
CRC error!,Error: Packet does not contain type,Error: Packet does not contain error status,Error: Packet does not contain length,Error: Packet does not contain steering angle,Error: Packet does not contain battery voltage,Error: Packet does not contain battery temperature,Error: Packet does not contain throttle input,Error: Packet does not contain brake pressure,Error: Packet does not contain wheel speed,Error: Packet does not contain latitude,Error: Packet does not contain longitude,2024-05-04 14:16:08.747307
-101.00,0,0,28,187,0.00,116.78,0,inf,0.00,38.03632355,-78.51520538,2024-05-04 14:16:08.910175
-107.00,0,0,28,187,0.00,116.78,0,8.69,0.01,38.03632355,-78.51520538,2024-05-04 14:16:09.319643
-101.00,0,0,28,187,0.00,116.78,0,8.69,0.01,38.03632355,-78.51520538,2024-05-04 14:16:09.485260
-107.00,0,0,28,187,0.00,116.78,0,8.69,0.01,38.03632355,-78.51520538,2024-05-04 14:16:09.742126
-99.00,0,0,28,187,0.00,116.78,0,8.69,0.01,38.03632355,-78.51520538,2024-05-04 14:16:09.907428
-98.00,0,0,28,187,0.00,116.78,0,8.69,0.01,38.03632355,-78.51520538,2024-05-04 14:16:10.317698
-99.00,0,0,28,187,0.00,116.78,0,8.69,0.01,38.03632355,-78.51520538,2024-05-04 14:16:10.483395
-96.00,0,0,28,187,0.00,116.78,0,8.69,0.01,38.03632355,-78.51520538,2024-05-04 14:16:10.743346
-97.00,0,0,28,187,0.00,116.78,0,8.69,0.01,38.03632355,-78.51520538,2024-05-04 14:16:10.908554
-99.00,0,0,28,187,0.00,116.78,0,2.17,0.05,38.03632355,-78.51520538,2024-05-04 14:16:11.314635
-105.00,0,0,28,187,0.00,116.78,0,2.17,0.05,38.03632355,-78.51520538,2024-05-04 14:16:11.480136
-98.00,0,0,28,187,0.00,116.78,0,2.17,0.05,38.03632355,-78.51520538,2024-05-04 14:16:11.738249
-105.00,0,0,28,187,0.00,116.78,0,2.17,0.05,38.03632355,-78.51520538,2024-05-04 14:16:11.904230
-97.00,0,0,28,178,0.00,116.78,10,0.10,1.05,38.03631973,-78.51520538,2024-05-04 14:16:12.321088
-95.00,0,0,28,178,0.00,116.78,10,0.10,1.05,38.03631973,-78.51520538,2024-05-04 14:16:12.486848
-97.00,0,0,28,178,0.00,116.78,10,0.10,1.05,38.03631973,-78.51520538,2024-05-04 14:16:12.750672
-96.00,0,0,28,178,0.00,116.78,10,0.10,1.05,38.03631973,-78.51520538,2024-05-04 14:16:12.916546
-96.00,0,0,28,172,0.00,116.78,46,0.02,4.65,38.03630447,-78.51519775,2024-05-04 14:16:13.318105
-97.00,0,0,28,172,0.00,116.78,46,0.02,4.65,38.03630447,-78.51519775,2024-05-04 14:16:13.484306
-102.00,0,0,28,172,0.00,116.78,46,0.02,4.65,38.03630447,-78.51519775,2024-05-04 14:16:13.746474
-102.00,0,0,28,172,0.00,116.78,46,0.02,4.65,38.03630447,-78.51519775,2024-05-04 14:16:13.911953
-105.00,0,0,28,171,0.00,116.78,64,0.02,6.49,38.03628159,-78.51519775,2024-05-04 14:16:14.320610
-100.00,0,0,28,171,0.00,116.78,64,0.02,6.49,38.03628159,-78.51519775,2024-05-04 14:16:14.485926
-98.00,0,0,28,171,0.00,116.78,64,0.02,6.49,38.03628159,-78.51519775,2024-05-04 14:16:14.721340
-105.00,0,0,28,171,0.00,116.78,64,0.02,6.49,38.03628159,-78.51519775,2024-05-04 14:16:14.888151
-97.00,0,0,28,146,0.00,116.78,84,0.01,8.49,38.03625488,-78.51517487,2024-05-04 14:16:15.324491
-97.00,0,0,28,146,0.00,116.78,84,0.01,8.49,38.03625488,-78.51517487,2024-05-04 14:16:15.490809
-89.00,0,0,28,146,0.00,116.78,84,0.01,8.49,38.03625488,-78.51517487,2024-05-04 14:16:15.725296
-87.00,0,0,28,146,0.00,116.78,84,0.01,8.49,38.03625488,-78.51517487,2024-05-04 14:16:15.890178
-86.00,0,0,28,109,0.00,116.78,127,0.01,12.73,38.03624344,-78.51512146,2024-05-04 14:16:16.324908
-94.00,0,0,28,109,0.00,116.78,127,0.01,12.73,38.03624344,-78.51512146,2024-05-04 14:16:16.490333
-89.00,0,0,28,109,0.00,116.78,127,0.01,12.73,38.03624344,-78.51512146,2024-05-04 14:16:16.729083
-95.00,0,0,28,109,0.00,116.78,127,0.01,12.73,38.03624344,-78.51512146,2024-05-04 14:16:16.896035
