RSSI,Type,Error code,Length,Steering angle,Battery voltage,Battery temperature,Throttle input,Brake pressure,Wheel speed,Latitude,Longitude,Time
-105.00,0,0,28,184,0.00,116.78,0,1.74,0.06,38.03632736,-78.51521301,2024-05-04 14:21:28.740763
-98.00,0,0,28,184,0.00,116.78,0,1.74,0.06,38.03632736,-78.51521301,2024-05-04 14:21:28.903726
-95.00,0,0,28,174,0.00,116.78,8,0.11,0.89,38.03632355,-78.51521301,2024-05-04 14:21:29.323003
-95.00,0,0,28,174,0.00,118.58,8,0.11,0.89,38.03632355,-78.51521301,2024-05-04 14:21:29.485171
-94.00,0,0,28,174,0.00,118.58,8,0.11,0.89,38.03632355,-78.51521301,2024-05-04 14:21:29.750958
-101.00,0,0,28,174,0.00,116.78,8,0.11,0.89,38.03632355,-78.51521301,2024-05-04 14:21:29.915595
-96.00,0,0,28,174,0.00,116.78,38,0.03,3.82,38.03631210,-78.51521301,2024-05-04 14:21:30.325518
-106.00,0,0,28,174,0.00,116.78,38,0.03,3.82,38.03631210,-78.51521301,2024-05-04 14:21:30.490898
-101.00,0,0,28,174,0.00,118.58,38,0.03,3.82,38.03631210,-78.51521301,2024-05-04 14:21:30.727913
-96.00,0,0,28,174,0.00,116.78,38,0.03,3.82,38.03631210,-78.51521301,2024-05-04 14:21:30.892945
-95.00,0,0,28,174,0.00,116.78,69,0.01,6.92,38.03628922,-78.51521301,2024-05-04 14:21:31.338315
-101.00,0,0,28,174,0.00,118.58,69,0.01,6.92,38.03628922,-78.51521301,2024-05-04 14:21:31.502579
-96.00,0,0,28,174,0.00,118.58,69,0.01,6.92,38.03628922,-78.51521301,2024-05-04 14:21:31.767511
-94.00,0,0,28,174,0.00,116.78,69,0.01,6.92,38.03628922,-78.51521301,2024-05-04 14:21:31.931676
-96.00,0,0,28,144,0.00,116.78,98,0.01,9.86,38.03625870,-78.51518250,2024-05-04 14:21:32.323808
-93.00,0,0,28,144,0.00,116.78,98,0.01,9.86,38.03625870,-78.51518250,2024-05-04 14:21:32.489358
-87.00,0,0,28,144,0.00,116.78,98,0.01,9.86,38.03625870,-78.51518250,2024-05-04 14:21:32.752188
-86.00,0,0,28,144,0.00,116.78,98,0.01,9.86,38.03625870,-78.51518250,2024-05-04 14:21:32.918497
-84.00,0,0,28,102,0.00,116.78,126,0.01,12.62,38.03625488,-78.51512909,2024-05-04 14:21:33.328807
-86.00,0,0,28,102,0.00,116.78,126,0.01,12.62,38.03625488,-78.51512909,2024-05-04 14:21:33.492119
-86.00,0,0,28,102,0.00,116.78,126,0.01,12.62,38.03625488,-78.51512909,2024-05-04 14:21:33.735787
-92.00,0,0,28,102,0.00,118.58,126,0.01,12.62,38.03625488,-78.51512909,2024-05-04 14:21:33.902862
-87.00,0,0,28,72,0.00,118.58,155,0.01,15.55,38.03627396,-78.51506042,2024-05-04 14:21:34.327572
-92.00,0,0,28,72,0.00,118.58,155,0.01,15.55,38.03627396,-78.51506042,2024-05-04 14:21:34.491677
-93.00,0,0,28,72,0.00,118.58,155,0.01,15.55,38.03627396,-78.51506042,2024-05-04 14:21:34.736436
-88.00,0,0,28,72,0.00,116.78,155,0.01,15.55,38.03627396,-78.51506042,2024-05-04 14:21:34.901067
-93.00,0,0,28,94,0.00,118.58,163,0.01,16.35,38.03627396,-78.51498413,2024-05-04 14:21:35.326629
-91.00,0,0,28,94,0.00,118.58,163,0.01,16.35,38.03627396,-78.51498413,2024-05-04 14:21:35.491584
-96.00,0,0,28,94,0.00,118.58,163,0.01,16.35,38.03627396,-78.51498413,2024-05-04 14:21:35.728776
-88.00,0,0,28,94,0.00,118.58,163,0.01,16.35,38.03627396,-78.51498413,2024-05-04 14:21:35.894877
-91.00,0,0,28,91,0.00,118.58,151,0.01,15.17,38.03627396,-78.51490021,2024-05-04 14:21:36.327996
-90.00,0,0,28,91,0.00,118.58,151,0.01,15.17,38.03627396,-78.51490021,2024-05-04 14:21:36.493950
-102.00,0,0,28,91,0.00,116.78,151,0.01,15.17,38.03627396,-78.51490021,2024-05-04 14:21:36.732784
-88.00,0,0,28,91,0.00,118.58,151,0.01,15.17,38.03627396,-78.51490021,2024-05-04 14:21:36.897106
-89.00,0,0,28,75,0.00,116.78,152,0.01,15.27,38.03628922,-78.51483154,2024-05-04 14:21:37.322955
-96.00,0,0,28,75,0.00,118.58,152,0.01,15.27,38.03628922,-78.51483154,2024-05-04 14:21:37.489981
-97.00,0,0,28,75,0.00,118.58,152,0.01,15.27,38.03628922,-78.51483154,2024-05-04 14:21:37.727998
-97.00,0,0,28,75,0.00,116.78,152,0.01,15.27,38.03628922,-78.51483154,2024-05-04 14:21:37.892993
-97.00,0,0,28,98,0.00,116.78,153,0.01,15.37,38.03628159,-78.51475525,2024-05-04 14:21:38.323399
-100.00,0,0,28,98,0.00,116.78,153,0.01,15.37,38.03628159,-78.51475525,2024-05-04 14:21:38.492988
-95.00,0,0,28,98,0.00,118.58,153,0.01,15.37,38.03628159,-78.51475525,2024-05-04 14:21:38.731416
